ntor	|An|^2	Re[An]	Im[An]	Ntor
110	8.16711E-006	-0.000627338	-0.00278811	44
111	7.14013E-006	-0.00106159	-0.00245217	44.4
112	6.34055E-006	-0.00139534	-0.00209608	44.8
113	5.7095E-006	-0.00163535	-0.00174216	45.2
114	5.19923E-006	-0.00179282	-0.00140891	45.6
115	4.77482E-006	-0.00188205	-0.00111027	46
116	4.41415E-006	-0.00191904	-0.000855233	46.4
117	4.10645E-006	-0.00192006	-0.000647942	46.8
118	3.84955E-006	-0.00190036	-0.000488031	47.2
119	3.64662E-006	-0.00187316	-0.000371355	47.6
120	3.50257E-006	-0.00184877	-0.000290925	48
121	3.42076E-006	-0.00183415	-0.000237981	48.4
122	3.40037E-006	-0.00183279	-0.000203116	48.8
123	3.43475E-006	-0.0018448	-0.000177347	49.2
124	3.51088E-006	-0.00186747	-0.00015306	49.6
125	3.61004E-006	-0.00189591	-0.000124742	50
126	3.70951E-006	-0.00192393	-8.94609E-005	50.4
127	3.7852E-006	-0.00194499	-4.70484E-005	50.8
128	3.8147E-006	-0.00195312	-2.1684E-019	51.2
129	3.78051E-006	-0.00194379	4.69075E-005	51.6
130	3.67306E-006	-0.00191454	8.72301E-005	52
131	3.49296E-006	-0.00186549	0.000113646	52.4
132	3.25232E-006	-0.0017995	0.000118845	52.8
133	2.97493E-006	-0.0017221	9.6444E-005	53.2
134	2.69498E-006	-0.00164111	4.18304E-005	53.6
135	2.45467E-006	-0.00156603	-4.71222E-005	54
136	2.30056E-006	-0.00150725	-0.000169551	54.4
137	2.27922E-006	-0.00147511	-0.000321353	54.8
138	2.43232E-006	-0.00147888	-0.00049522	55.2
139	2.79185E-006	-0.00152582	-0.000680966	55.6
140	3.37574E-006	-0.00162036	-0.000866126	56
141	4.18441E-006	-0.00176337	-0.0010368	56.4
142	5.19871E-006	-0.00195179	-0.00117866	56.8
143	6.37943E-006	-0.00217852	-0.00127808	57.2
144	7.66856E-006	-0.00243259	-0.00132327	57.6
145	8.99234E-006	-0.00269969	-0.00130538	58
146	1.0266E-005	-0.00296296	-0.00121936	58.4
147	1.13996E-005	-0.00320406	-0.00106471	58.8
148	1.23053E-005	-0.00340438	-0.000845836	59.2
149	1.29041E-005	-0.00354638	-0.000572153	59.6
150	1.31337E-005	-0.00361487	-0.000257755	60
151	1.29542E-005	-0.00359832	7.92031E-005	60.4
152	1.23533E-005	-0.00348984	0.000417475	60.8
153	1.13497E-005	-0.00328801	0.000733947	61.2
154	9.99394E-006	-0.0029973	0.00100505	61.6
